221,375.12,350.47,399.77,6.6,3.6,1.8
222,368.39,344.11,392.66,6.6,3.6,1.8
223,361.80,337.90,385.70,6.6,3.7,1.8
224,355.36,331.82,378.90,6.6,3.7,1.8
225,349.06,325.87,372.24,6.6,3.7,1.8
226,342.89,320.06,365.72,6.7,3.7,1.8
227,336.85,314.36,359.33,6.7,3.8,1.8
228,330.94,308.79,353.09,6.7,3.8,1.8
229,325.15,303.33,346.97,6.7,3.8,1.8
230,319.49,298.00,340.98,6.7,3.8,1.8
231,313.94,292.77,335.12,6.7,3.9,1.7
232,308.52,287.66,329.37,6.8,3.9,1.7
233,303.20,282.65,323.75,6.8,3.9,1.7
234,298.00,277.75,318.24,6.8,3.9,1.7
235,292.90,272.95,312.85,6.8,4.0,1.7
236,287.91,268.25,307.57,6.8,4.0,1.7
237,283.02,263.65,302.39,6.8,4.0,1.7
238,278.23,259.14,297.32,6.9,4.0,1.7
239,273.54,254.73,292.36,6.9,4.1,1.7
240,268.95,250.41,287.49,6.9,4.1,1.7
241,264.45,246.18,282.72,6.9,4.1,1.7
242,260.04,242.03,278.05,6.9,4.1,1.7
243,255.72,237.97,273.47,6.9,4.2,1.7
244,251.49,233.99,268.99,7.0,4.2,1.7
245,247.34,230.09,264.59,7.0,4.2,1.7
246,243.27,226.27,260.28,7.0,4.2,1.7
247,239.29,222.52,256.06,7.0,4.3,1.6
248,235.38,218.85,251.91,7.0,4.3,1.6
249,231.56,215.26,247.85,7.0,4.3,1.6
250,227.80,211.73,243.87,7.1,4.3,1.6
